Text,Phonetic,Meaning,Example,DifficultyLevel
mechanical,/məˈkænɪkl/,adj. 机械的,a mechanical device/toy/clock,3
mechanism,/ˈmekənɪzəm/,n. 机制,a delicate watch mechanism,3
medal,/ˈmedl/,n. 勋章,to win a gold medal in the Olympics,3
media,/ˈmiːdiə/,n. 媒体,the national/international media ,1
medical,/ˈmedɪkl/,adj. 医疗的,medical care/treatment,1
medication,/ˌmedɪˈkeɪʃn/,n. 药物,Are you currently taking any medication?,3
medicine,/ˈmedsn/,n. 药品,advances in modern medicine,1
medieval,/ˌmediˈiːvl/,adj. 中世纪,medieval architecture/castles/manuscripts,4
meditation,/ˌmedɪˈteɪʃn/,n. 冥想,She found peace through yoga and meditation.,4
medium,/ˈmiːdiəm/,adj. 中等的,"There are three sizes—small, medium and large.",2
meet,/miːt/,v. 见面,Maybe we'll meet again some time.,1
meeting,/ˈmiːtɪŋ/,n. 会议,A hundred people attended the public meeting.,1
melody,/ˈmelədi/,n. 旋律,a haunting melody,4
melt,/melt/,v. 熔化,The snow showed no sign of melting.,3
member,/ˈmembə(r)/,n. 成员,"member of something, a member of the family/community",1
membership,/ˈmembəʃɪp/,n. 会员资格,"membership of something, (British English), Who is eligible to apply for membership of the association?",3
memo,/ˈmeməʊ/,n. 备忘录,to write/send a memo,4
memoir,/ˈmemwɑː(r)/,n. 回忆录,O'Connor published a childhood memoir.,4
memorable,/ˈmemərəbl/,adj. 难忘,The holiday provided many memorable moments.,3
memorial,/məˈmɔːriəl/,n. 纪念馆,a war memorial (= in memory of soldiers who died in a war),4
memory,/ˈmeməri/,n. 记忆,"memory for something, I have a bad memory for names.",1
mental,/ˈmentl/,adj. 精神的,the mental process of remembering,2
mention,/ˈmenʃn/,n. 提到,He made no mention of her work.,2
mentor,/ˈmentɔː(r)/,n. 导师,She was a friend and mentor to many young actors.,4
menu,/ˈmenjuː/,n. 菜单,May we have the menu?,1
merchant,/ˈmɜːtʃənt/,n. 商人,a coal/wine merchant,4
mercy,/ˈmɜːsi/,n. 怜悯,to ask/beg/plead for mercy,4
mere,/mɪə(r)/,adj. 仅仅,It took her a mere 20 minutes to win.,4
merely,/ˈmɪəli/,adv. 仅仅,"It is not merely a job, but a way of life.",4
merge,/mɜːdʒ/,v. 合并,The banks are set to merge next year.,4
merger,/ˈmɜːdʒə(r)/,n. 合并,"If the merger goes through, thousands of jobs will be lost.",4
merit,/ˈmerɪt/,n. 优点,a work of outstanding artistic merit,4
mess,/mes/,n. 混乱,"in a mess, The room was in a mess.",2
message,/ˈmesɪdʒ/,n. 信息,There were no messages for me at the hotel.,1
metal,/ˈmetl/,n. 金属,a piece/sheet of metal,1
metaphor,/ˈmetəfə(r)/,n. 隐喻,a game of football used as a metaphor for the competitive struggle of life,3
method,/ˈmeθəd/,n. 方法,Which method is the most effective?,1
methodology,/ˌmeθəˈdɒlədʒi/,n. 方法论,recent changes in the methodology of language teaching,4
metre,/ˈmiːtə(r)/,n. 仪表,a 50-metre swimming pool,1
middle,/ˈmɪdl/,adj. 中间,Pens are kept in the middle drawer.,1
midnight,/ˈmɪdnaɪt/,n. 午夜,She heard the clock strike midnight.,1
midst,/mɪdst/,n. 中间,"in the midst of something, Such beauty was unexpected in the midst of the city.",4
might,/maɪt/,mod. 可能,"He might get there in time, but I can't be sure.",1
migration,/maɪˈɡreɪʃn/,n. 迁移,the seasonal migration of blue whales,4
mild,/maɪld/,adj. 温和的,a mild form of the disease,2
mile,/maɪl/,n. 英里,a 20-mile drive to work,1
militant,/ˈmɪlɪtənt/,adj. 好战的,militant groups/leaders,4
military,/ˈmɪlətri/,adj. 军队,We may have to take military action.,3
militia,/məˈlɪʃə/,n. 民兵,He said he would call out the state militia if the rebels did not surrender.,4
milk,/mɪlk/,n. 牛奶,a pint/litre of milk ,1
mill,/mɪl/,n. 磨,The old mill has been converted into apartments.,4
million,/ˈmɪljən/,num. 百万,a population of half a million,1
mind,/maɪnd/,n. 头脑,the conscious/subconscious mind,1
mine,/maɪn/,n. 矿,a copper/diamond mine ,2
miner,/ˈmaɪnə(r)/,n. 矿工,Rescuers are trying to save miners trapped underground after a gas explosion.,3
mineral,/ˈmɪnərəl/,n. 矿物,a country rich in mineral resources,3
minimal,/ˈmɪnɪml/,adj. 最小的,The work was carried out at minimal cost.,4
minimize,/ˈmɪnɪmaɪz/,v. 最小化,Good hygiene helps to minimize the risk of infection.,4
minimum,/ˈmɪnɪməm/,adj. 最低限度,a minimum charge/price,3
mining,/ˈmaɪnɪŋ/,n. 矿业,coal/diamond/gold/tin mining,4
minister,/ˈmɪnɪstə(r)/,n. 部长,the Minister of Education,3
ministry,/ˈmɪnɪstri/,n. 部,The Ministry of Defence has issued the following statement.,4
minor,/ˈmaɪnə(r)/,adj. 次要的,The new plan involves widening a minor road through the valley.,3
minority,/maɪˈnɒrəti/,n. 少数民族,Only a small minority of students is/are interested in politics these days.,3
minute,/maɪˈnjuːt/,adj. 分钟,minute amounts of chemicals in the water,4
miracle,/ˈmɪrəkl/,n. 奇迹,the miracle of rising from the grave,4
mirror,/ˈmɪrə(r)/,n. 镜子,"in the mirror, He looked at himself in the mirror.",1
miserable,/ˈmɪzrəbl/,adj. 悲惨的,"We were cold, wet and thoroughly miserable.",3
misery,/ˈmɪzəri/,n. 苦难,Fame brought her nothing but misery.,4
misleading,/ˌmɪsˈliːdɪŋ/,adj. 误导性的,misleading information/advertisements,4
miss,/mɪs/,v. 错过,If I don't leave now I'll miss my plane.,1
missile,/ˈmɪsaɪl/,n. 导弹,nuclear missiles,4
missing,/ˈmɪsɪŋ/,adj. 丢失的,I never found the missing piece.,1
mission,/ɪmˈpɒsəbl/,n. 使命,almost/virtually/nearly impossible,3
mistake,/mɪˈsteɪk/,n. 错误,It's easy to make a mistake.,1
mix,/mɪks/,n. 混合,It's a school with a good social and ethnic mix of children.,2
mixed,/mɪkst/,adj. 混合的,a mixed diet,3
mixture,/ˈmɪkstʃə(r)/,n. 混合物,"She was a curious mixture, part grand lady, part wild child.",2
mob,/mɒb/,n. 暴民,an angry/unruly mob,4
mobile,/ˈməʊbaɪl/,adj. 移动的,What's your mobile number?,1
mobility,/məʊˈbɪləti/,n. 流动性,social/geographical/career mobility,4
mobilize,/ˈməʊbəlaɪz/,v. 动员,The unions mobilized thousands of workers in a protest against the cuts.,4
mode,/məʊd/,n. 模式,a mode of communication,3
model,/ˈmɒdl/,n. 模型,a working model (= one in which the parts move) of a fire engine,1
moderate,/ˈmɒdərət/,adj. 缓和,students of moderate ability,4
modern,/ˈmɒdn/,adj. 现代的,the modern industrial world,1
modest,/ˈmɒdɪst/,adj. 谦虚的,modest improvements/reforms,3
modification,/ˌmɒdɪfɪˈkeɪʃn/,n. 修改,Considerable modification of the existing system is needed.,4
modify,/ˈmɒdɪfaɪ/,v. 调整,Patients are taught how to modify their diet.,3
moment,/ˈməʊmənt/,n. 片刻,"Could you wait a moment, please?",1
momentum,/məˈmentəm/,n. 势头,The fight for his release gathers momentum each day.,4
Monday,/ˈmʌndeɪ/,n. 周一,"It's Monday today, isn't it?",1
money,/ˈmʌni/,n. 钱,to borrow/save/spend/earn money,1
monitor,/ˈmɒnɪtə(r)/,n. 监视器,The details of today's flights are displayed on the monitor.,3
monk,/mʌŋk/,n. 僧,Benedictine/Buddhist monks,4
monkey,/ˈmʌŋki/,n. 猴,"Like humans, apes and monkeys live in complex social groupings.",1
monopoly,/məˈnɒpəli/,n. 垄断,In the past central government had a monopoly on television broadcasting.,4
monster,/ˈmɒnstə(r)/,n. 怪物,a monster with three heads,3
month,/mʌnθ/,n. 月,The months of July and August are the hottest.,1
monthly,/ˈmʌnθli/,adj. 每月,a monthly meeting/visit/magazine,3
monument,/ˈmɒnjumənt/,n. 纪念碑,A monument to him was erected in St Paul's Cathedral.,3
mood,/muːd/,n. 情绪,"in a … mood, She's in a good mood today (= happy and friendly).",2
moon,/muːn/,n. 月亮,the surface of the moon,1
moral,/ˈmɒrəl/,adj. 道德,a moral issue/dilemma,3
morality,/məˈræləti/,n. 道德,matters of public/private morality,4
more,/mɔː(r)/,adv. 更多的,She was far more intelligent than her sister.,1
moreover,/mɔːrˈəʊvə(r)/,adv. 而且,"A talented artist, he was, moreover, a writer of some note.",3
morning,/ˈmɔːnɪŋ/,n. 早晨,They left for Spain early this morning.,1
mortgage,/ˈmɔːɡɪdʒ/,n. 抵押,to apply for/take out/pay off a mortgage,3
mosque,/mɒsk/,n. 清真寺,I used to pray at the local mosque with my father and grandfather.,3
most,/məʊst/,adv. 最多,the most boring/beautiful part,1
mostly,/ˈməʊstli/,adv. 大多,The sauce is mostly cream.,1
mother,/ˈmʌðə(r)/,n. 母亲,I want to buy a present for my mother and father.,1
motion,/ˈməʊʃn/,n. 运动,What was Newton's first law of motion?,3
motivate,/ˈməʊtɪveɪt/,v. 激励,"motivate somebody (to do something), What motivates people to carry out such attacks?",3
motivation,/ˌməʊtɪˈveɪʃn/,n. 动机,"motivation (behind something), What is the motivation behind this sudden change?",3
motive,/ˈməʊtɪv/,n. 动机,There seemed to be no motive for the murder.,4
motor,/ˈməʊtə(r)/,adj. 发动机,The street is closed to motor vehicles.,3
motorcycle,/ˈməʊtəsaɪkl/,n. 摩托车,He never learned to ride a motorcycle or to drive a car.,1
motorist,/ˈməʊtərɪst/,n. 驾车者,The accident was reported by a passing motorist.,4
mount,/maʊnt/,v. 山,Residents mounted a campaign to fight the plans.,3
mountain,/ˈmaʊntən/,n. 山,the mountains of Andalusia,1
mouse,/maʊs/,n. 老鼠,a house mouse,1
mouth,/maʊθ/,n. 嘴,She opened her mouth to say something.,1
move,/muːv/,n. 移动,Don't make a move!,2
movement,/ˈmuːvmənt/,n. 移动,hand/eye movements,1
movie,/ˈmuːvi/,n. 电影,You'll love this movie.,1
moving,/ˈmuːvɪŋ/,adj. 移动,a deeply moving experience,3
much,/mʌtʃ/,adv. 很多,Thank you very much for the flowers.,1
mud,/mʌd/,n. 泥,The car wheels got stuck in the mud.,2
multiple,/ˈmʌltɪpl/,adj. 多种的,The shape appears multiple times within each painting.,3
multiply,/ˈmʌltɪplaɪ/,v. 乘,The children are already learning to multiply and divide.,3
mum,/mʌm/,n. 妈妈,Call your mum.,1
municipal,/mjuːˈnɪsɪpl/,adj. 市级,municipal elections/councils,4
murder,/ˈmɜːdə(r)/,n. 谋杀,He was found guilty of murder.,2
muscle,/ˈmʌsl/,n. 肌肉,a calf/neck/thigh muscle ,2
museum,/mjuˈziːəm/,n. 博物馆,a museum of modern art,1
music,/ˈmjuːzɪk/,n. 音乐,I like any kind of pop or dance music.,1
musical,/ˈmjuːzɪkl/,adj. 音乐,musical styles/tastes,1
musician,/mjuˈzɪʃn/,n. 音乐家,a jazz/rock/classical musician,1
must,/məst/,mod. 必须,All visitors must report to reception.,1
mutual,/ˈmjuːtʃuəl/,adj. 相互的,mutual respect/understanding,4
my,/maɪ/,det. 我的,Where's my passport?,1
myself,/maɪˈself/,pron. 我,I cut myself on a knife.,1
mysterious,/mɪˈstɪəriəs/,adj. 神秘,He died in mysterious circumstances.,3
mystery,/ˈmɪstri/,n. 神秘,It is one of the great unsolved mysteries of this century.,2
myth,/mɪθ/,n. 神话,ancient Greek myths,3
nail,/neɪl/,n. 指甲,Stop biting your nails!,2
naked,/ˈneɪkɪd/,adj. 裸,She was clutching the sheet around her naked body.,3
name,/neɪm/,n. 姓名,What's your name?,1
namely,/ˈneɪmli/,adv. 即,"We need to concentrate on our target audience, namely women aged between 20 and 30.",4
narrative,/ˈnærətɪv/,adj. 叙述,narrative fiction,2
narrow,/ˈnærəʊ/,adj. 狭窄的,Stray dogs wander the steep narrow lanes of the old town.,1
nasty,/ˈnɑːsti/,adj. 可恶的,He had a nasty accident.,3
nation,/ˈneɪʃn/,n. 国家,European/Arab/Asian nations,2
national,/ˈnæʃnəl/,adj. 国家的,Decide whether it would be better to advertise in a national or a local newspaper.,1
nationwide,/ˌneɪʃnˈwaɪd/,adj. 全国,a nationwide campaign,4
native,/ˈneɪtɪv/,adj. 本国的,your native land/country/city,2
natural,/ˈnætʃrəl/,adj. 自然的,"the natural world (= of trees, rivers, animals and birds)",1
naturally,/ˈnætʃrəli/,adv. 自然,"Naturally, I get upset when things go wrong.",2
nature,/ˈneɪtʃə(r)/,n. 自然,Take time to appreciate the beauties of nature.,1
naval,/ˈneɪvl/,adj. 海军,a naval base/officer/battle,4
navigation,/ˌnævɪˈɡeɪʃn/,n. 导航,a maker of in-car navigation systems,3
near,/nɪə(r)/,adj. 靠近,His house is very near.,1
nearby,/ˌnɪəˈbaɪ/,adj. 附近,Her mother lived in a nearby town.,3
nearly,/ˈnɪəli/,adv. 几乎,The bottle's nearly empty.,1
neat,/niːt/,adj. 整洁的,She kept her desk extremely neat.,3
necessarily,/ˌnesəˈserəli/,adv. 一定,The number of places available is necessarily limited.,2
necessary,/ˈnesəsəri/,adj. 必要的,"necessary to do something, It may be necessary to buy a new one.",1
necessity,/nəˈsesəti/,n. 必要性,"necessity for something, We recognize the necessity for a written agreement.",3
neck,/nek/,n. 脖子,He tied a scarf around his neck.,1
need,/niːd/,n. 需要,to satisfy/meet/fulfil a need,1
needle,/ˈniːdl/,n. 针,a needle and thread,2
negative,/ˈneɡətɪv/,adj. 消极的,The crisis had a negative effect on trade.,1
neglect,/nɪˈɡlekt/,n. 忽视,The buildings are crumbling from years of neglect.,4
negotiate,/nɪˈɡəʊʃieɪt/,v. 谈判,"negotiate (with somebody) (for something), The government will not negotiate with terrorists.",3
negotiation,/nɪˌɡəʊʃiˈeɪʃn/,n. 谈判,peace/trade/contract negotiations,3
neighbour,/ˈneɪbə(r)/,n. 邻居,We've had a lot of support from all our friends and neighbours.,1
neighbourhood,/ˈneɪbəhʊd/,n. 邻里,We grew up in the same neighbourhood.,2
neighbouring,/ˈneɪbərɪŋ/,adj. 邻接,a neighbouring house,4
neither,/ˈnaɪðə(r)/,adv. 两者都不,He didn't remember and neither did I.,2
nerve,/nɜːv/,n. 神经,the optic nerve,3
nervous,/ˈnɜːvəs/,adj. 紧张的,I felt really nervous before the interview.,1
nest,/nest/,n. 巢,sparrows building a nest of twigs and dry grass,4
net,/net/,adj. 网,a net profit of £500,4
network,/ˈnetwɜːk/,n. 网络,a rail/road/canal network,1
neutral,/ˈnjuːtrəl/,adj. 中性的,Journalists are supposed to be politically neutral.,3
never,/ˈnevə(r)/,adv. 绝不,You never help me.,1
nevertheless,/ˌnevəðəˈles/,adv. 尽管如此,"There is little chance that we will succeed in changing the law. Nevertheless, it is important that we try.",3
new,/njuː/,adj. 新的,Have you read her new novel?,1
newly,/ˈnjuːli/,adv. 新,a newly qualified doctor,3
news,/njuːz/,n. 消息,What's the latest news?,1
newsletter,/ˈnjuːzletə(r)/,a report containing news of the activities of a club or organization that is sent regularly to all its members,Our sailing club produces a monthly newsletter.,4
newspaper,/ˈnjuːzpeɪpə(r)/,n. 报纸,a daily/weekly newspaper,1
next,/nekst/,adj. 下一个,The next train to Baltimore is at ten.,1
next to,/ˈnekst tə/,prep. 旁边,We sat next to each other.,1
nice,/naɪs/,adj. 好的,a nice day/smile/place,1
niche,/niːʃ/,n. 利基,He eventually found his niche in sports journalism.,4
night,/naɪt/,n. 夜晚,"at night, These animals only come out at night.",1
nightmare,/ˈnaɪtmeə(r)/,n. 恶梦,He still has nightmares about the accident.,3
nine,/naɪn/,num. 九,There are only nine of these rare animals left.,1
nineteen,/ˌnaɪnˈtiːn/,num. 十九,,1
ninety,/ˈnaɪnti/,num. 九十,The temperature must be in the nineties today.,1
no,/nəʊ/,det. 不,No student is to leave the room.,1
no one,/ˈnəʊ wʌn/,pron. 没有人,No one was at home.,1
noble,/ˈnəʊbl/,adj. 高贵,a noble leader,4
nobody,/ˈnəʊbədi/,pron. 没有人,Nobody knew what to say.,1
nod,/nɒd/,v. 点头,I asked him if he would help me and he nodded.,4
noise,/nɔɪz/,n. 噪音,There was a rattling noise coming from the back of the car.,1
noisy,/ˈnɔɪzi/,adj. 嘈杂,noisy children/traffic/crowds,1
nominate,/ˈnɒmɪneɪt/,v. 提名,"nominate somebody/something (for something), She has been nominated for the presidency.",4
nomination,/ˌnɒmɪˈneɪʃn/,n. 提名,Membership of the club is by nomination only.,4
nominee,/ˌnɒmɪˈniː/,n. 被提名人,He was chosen as the party's presidential nominee.,4
non-profit,/ˌnɒn ˈprɒfɪt/,adj. 非营利组织,an independent non-profit organization,4
none,/nʌn/,pron. 没有任何,None of these pens works/work.,1
nonetheless,/ˌnʌnðəˈles/,adv. 尽管如此,"The book is too long but, nonetheless, informative and entertaining.",4
nonsense,/ˈnɒnsns/,n. 废话,Reports that he has resigned are nonsense.,4
noon,/nuːn/,n. 中午,We should be there by noon.,4
nor,/nɔː(r)/,adv. 也不,She seemed neither surprised nor worried.,2
norm,/nɔːm/,n. 规范,The new design is a departure from the norm.,3
normal,/ˈnɔːml/,adj. 普通的,quite/perfectly (= completely) normal,1
normally,/ˈnɔːməli/,adv. 通常情况下,I would never normally discuss this.,1
north,/nɔːθ/,adj. 北,North London,1
northern,/ˈnɔːðən/,adj. 北方,the northern slopes of the mountains,2
nose,/nəʊz/,n. 鼻子,She had dark eyes and a long narrow nose.,1
not,/nɒt/,adv. 不是,She did not/didn’t see him.,1
notable,/ˈnəʊtəbl/,adj. 值得注意的,a notable success/achievement/example,4
notably,/ˈnəʊtəbli/,adv. 尤其,"The house had many drawbacks, most notably its price.",4
note,/nəʊt/,n. 笔记,Please make a note of the dates.,1
notebook,/ˈnəʊtbʊk/,n. 笔记本,The police officer wrote the details down in his notebook.,3
nothing,/ˈnʌθɪŋ/,pron. 没有什么,There was nothing in her bag.,1
notice,/ˈnəʊtɪs/,n. 注意,There was a notice on the board saying the class had been cancelled.,1
notify,/ˈnəʊtɪfaɪ/,v. 通知,"notify somebody, Competition winners will be notified by post.",4
notion,/ˈnəʊʃn/,n. 概念,"notion of something, a political system based on the notions of equality and liberty",3
notorious,/nəʊˈtɔːriəs/,adj. 臭名昭著,a notorious criminal,4
novel,/ˈnɒvl/,adj. 小说,a novel feature,4
novelist,/ˈnɒvəlɪst/,n. 小说家,a romantic/historical novelist,3
November,/nəʊˈvembə(r)/,n. 十一月,She was born in November.,1
now,/naʊ/,adv. 现在,Where are you living now?,1
nowadays,/ˈnaʊədeɪz/,adv. 如今,Nowadays most kids prefer going online to reading books.,3
nowhere,/ˈnəʊweə(r)/,adv. 无处,"I had nowhere to live, so I was sleeping on my sister's couch.",1
nuclear,/ˈnjuːkliə(r)/,adj. 核,a nuclear power plant/station,2
number,/ˈnʌmbə(r)/,n. 数字,Think of a number and multiply it by two.,1
numerous,/ˈnjuːmərəs/,adj. 很多的,He has been late on numerous occasions.,3
nurse,/nɜːs/,n. 护士,a registered nurse,1
nursery,/ˈnɜːsəri/,n. 苗圃,"at nursery, Her youngest child is at nursery now.",4
nursing,/ˈnɜːsɪŋ/,n. 护理,a career in nursing,3
nut,/nʌt/,n. 坚果,to crack a nut (= open it),1
nutrition,/njuˈtrɪʃn/,n. 营养,advice on diet and nutrition,3
o'clock,/əˈklɒk/,adv. 点钟,He left between five and six o'clock.,1
obesity,/əʊˈbiːsəti/,n. 肥胖,Obesity can increase the risk of heart disease.,3
obey,/əˈbeɪ/,v. 服从,"obey something, to obey a command/an order/rules/the law",3
object,/ˈɒbdʒɪkt/,n. 目的,everyday objects such as cups and saucers,1
objection,/əbˈdʒekʃn/,n. 异议,"I'd like to come too, if you have no objection.",4
objective,/əbˈdʒektɪv/,adj. 客观的,an objective assessment of the situation,3
obligation,/ˌɒblɪˈɡeɪʃn/,n. 义务,"obligation to do something, You are under no obligation to buy anything.",3
oblige,/əˈblaɪdʒ/,v. 义务,Parents are obliged by law to send their children to school.,4
observation,/ˌɒbzəˈveɪʃn/,n. 观察,Most information was collected by direct observation of the animals' behaviour.,3
observe,/əbˈzɜːv/,v. 观察,"observe somebody/something, Have you observed any changes lately?",3
observer,/əbˈzɜːvə(r)/,n. 观察者,"According to observers, the plane exploded shortly after take-off.",3
obsess,/əbˈses/,v. 缠住,"be obsessed by somebody/something, He's obsessed by computers.",4
obsession,/əbˈseʃn/,n. 痴迷,Her fear of flying is bordering on obsession.,4
obstacle,/ˈɒbstəkl/,n. 障碍,"So far, we have managed to overcome all the obstacles that have been placed in our path.",3
obtain,/əbˈteɪn/,v. 获得,to obtain information/data/results,3
obvious,/ˈɒbviəs/,adj. 明显的,I know you don't like her but try not to make it so obvious.,2
obviously,/ˈɒbviəsli/,adv. 明显地,"Obviously, we don't want to spend too much money.",2
occasion,/əˈkeɪʒn/,n. 场合,"on an occasion, on this/that occasion",2
occasional,/əˈkeɪʒənl/,adj. 偶然,He works for us on an occasional basis.,4
occasionally,/əˈkeɪʒnəli/,adv. 偶尔,We occasionally meet for a drink after work.,3
occupation,/ˌɒkjuˈpeɪʃn/,n. 职业,"Please state your name, age and occupation below.",3
occupy,/ˈɒkjupaɪ/,v. 占据,The bed seemed to occupy most of the room.,3
occur,/əˈkɜː(r)/,v. 发生,When exactly did the incident occur?,2
occurrence,/əˈkʌrəns/,n. 发生,a common/everyday/frequent/regular occurrence,4
ocean,/ˈəʊʃn/,n. 海洋,The ship was dredged from the depths of the ocean.,1
October,/ɒkˈtəʊbə(r)/,n. 十月,She was born in October.,1
odd,/ɒd/,adj. 奇怪的,They're very odd people.,2
odds,/ɒdz/,n. 赔率,The odds are very much in our favour (= we are likely to succeed).,4
of,/əv/,prep. 的,a friend of mine,1
off,/ɒf/,adv. 离开,He's had his beard shaved off.,1
offence,/əˈfens/,n. 罪行,a criminal/serious/minor/sexual offence,3
offend,/əˈfend/,v. 得罪,They'll be offended if you don't go to their wedding.,3
offender,/əˈfendə(r)/,n. 罪犯,"a persistent/serious/violent, etc. offender",3
offensive,/əˈfensɪv/,adj. 进攻,offensive remarks,3
offer,/ˈɒfə(r)/,n. 提供,to receive a job offer,1
offering,/ˈɒfərɪŋ/,n. 奉献,the latest offering from the Canadian-born writer,4
office,/ˈɒfɪs/,n. 办公室,The company is moving to new offices on the other side of town.,1
officer,/ˈɒfɪsə(r)/,n. 官,army/military/naval officers,1
official,/əˈfɪʃl/,adj. 官方的,an official announcement/decision/statement,2
offspring,/ˈɒfsprɪŋ/,n. 后代,the problems parents have with their teenage offspring,4
often,/ˈɒfn/,adv. 经常,We often go there.,1
oh,/əʊ/,excl. 哦,"‘I saw Ben yesterday.’ ‘Oh yes, how is he?’",1
oil,/ɔɪl/,n. 油,Several companies are drilling for oil in the region.,1
OK,/əʊˈkeɪ/,adj. 好的,Are you OK?,1
old,/əʊld/,adj. 老的,"be… years, months, etc. old, The baby was only a few hours old.",1
old-fashioned,/ˌəʊld ˈfæʃnd/,adj. 老式的,old-fashioned clothes/styles/methods/equipment,2
on,/ɒn/,adv. 在,Put your coat on.,1
once,/wʌns/,adv. 一次,I've only been there once.,1
one,/wʌn/,det. 一,Do you want one or two?,1
ongoing,/ˈɒnɡəʊɪŋ/,adj. 正在进行的,an ongoing debate/discussion/process,3
onion,/ˈʌnjən/,n. 洋葱,Chop the onions finely.,1
online,/ˌɒnˈlaɪn/,adj. 在线的,Online shopping is both cheap and convenient.,1
only,/ˈəʊnli/,adj. 仅有的,She's their only daughter.,1
onto,/ˈɒntə/,prep. 到,Move the books onto the second shelf.,1
open,/ˈəʊpən/,adj. 打开,A wasp flew in the open window.,1
opening,/ˈəʊpənɪŋ/,n. 开幕,We could see the stars through an opening in the roof.,3
openly,/ˈəʊpənli/,adv. 公然,Can you talk openly about sex with your parents?,3
opera,/ˈɒprə/,n. 歌剧,Puccini’s operas,3
operate,/ˈɒpəreɪt/,v. 操作,Most domestic freezers operate at below −18°C.,3
operation,/ˌɒpəˈreɪʃn/,n. 手术,Will I need to have an operation?,2
operational,/ˌɒpəˈreɪʃənl/,adj. 操作,operational activities/costs/difficulties,4
operator,/ˈɒpəreɪtə(r)/,n. 操作员,a computer/machine operator,3
opinion,/əˈpɪnjən/,n. 观点,He has very strong political opinions.,1
opponent,/əˈpəʊnənt/,n. 对手,a political opponent,3
opportunity,/ˌɒpəˈtjuːnəti/,n. 机会,Don't miss this opportunity!,1
oppose,/əˈpəʊz/,v. 反对,"oppose somebody/something, This party would bitterly oppose the re-introduction of the death penalty.",3
opposed,/əˈpəʊzd/,adj. 反对,"opposed to something, He was strongly opposed to modernism in art.",3
opposite,/ˈɒpəzɪt/,adj. 对面的,Answers are given on the opposite page.,1
opposition,/ˌɒpəˈzɪʃn/,n. 反对,Opposition came primarily from students.,3
opt,/ɒpt/,v. 选择,"opt for/against something, After graduating she opted for a career in music.",4
optical,/ˈɒptɪkl/,adj. 光学的,optical effects,4
optimism,/ˈɒptɪmɪzəm/,n. 乐观,a mood of cautious optimism,4
optimistic,/ˌɒptɪˈmɪstɪk/,adj. 乐观的,We are now taking a more optimistic view.,3
option,/ˈɒpʃn/,n. 选项,"As I see it, we have two options…",1
or,/ɔː(r)/,conj. 或者,Is your sister older or younger than you?,1
oral,/ˈɔːrəl/,adj. 口服,a test of both oral and written French,4
orange,/ˈɒrɪndʒ/,adj. 橙子,yellow and orange flames,1
orchestra,/ˈɔːkɪstrə/,n. 乐队,She plays the flute in the school orchestra.,3
order,/ˈɔːdə(r)/,n. 命令,"in… order, The names are listed in alphabetical order.",1
ordinary,/ˈɔːdnri/,adj. 普通的,an ordinary sort of day,1
organ,/ˈɔːɡən/,n. 器官,the internal organs,3
organic,/ɔːˈɡænɪk/,adj. 有机的,"organic cheese/vegetables/wine, etc.",3
organization,/ˌɔːɡənaɪˈzeɪʃn/,n. 组织,He's the president of a large international organization.,1
organizational,/ˌɔːɡənaɪˈzeɪʃənl/,adj. 组织,organizational changes within the party,4
organize,/ˈɔːɡənaɪz/,v. 组织,He helped to organize various events.,1
organized,/ˈɔːɡənaɪzd/,adj. 有组织的,an organized body of workers,2
organizer,/ˈɔːɡənaɪzə(r)/,a person who makes the arrangements for something,the organizers of the festival,2
orientation,/ˌɔːriənˈteɪʃn/,n. 方向,religious/political orientation,4
origin,/ˈɒrɪdʒɪn/,n. 起源,"origin of something, the origins of life on earth",3
original,/əˈrɪdʒənl/,adj. 原来的,The room still has many of its original features.,1
originally,/əˈrɪdʒənəli/,adv. 起初,The school was originally very small.,2
originate,/əˈrɪdʒɪneɪt/,v. 起源,The disease is thought to have originated in the tropics.,4
other,/ˈʌðə(r)/,adj. 其他,Mr Harris and Mrs Bate and three other teachers were there.,1
otherwise,/ˈʌðəwaɪz/,adv. 否则,"My parents lent me the money. Otherwise, I couldn't have afforded the trip.",3
ought,/ˈɔːt tə/,mod. 应该,They ought to apologize.,2
our,/ɑː(r)/,det. 我们的,our daughter/dog/house,1
ours,/ɑːz/,pron. 我们的,"Their house is very similar to ours, but ours is bigger.",2
ourselves,/ɑːˈselvz/,pron. 我们自己,We shouldn't blame ourselves for what happened.,1
out,/aʊt/,adv. 出去,She ran out into the corridor.,1
outbreak,/ˈaʊtbreɪk/,n. 暴发,the outbreak of war,4
outcome,/ˈaʊtkʌm/,n. 结果,The likely outcome is a compromise.,3
outdoor,/ˈaʊtdɔː(r)/,adj. 户外的,outdoor pursuits/recreation/activities,2
outdoors,/ˌaʊtˈdɔːz/,adv. 户外,The rain prevented them from eating outdoors.,2
outer,/ˈaʊtə(r)/,adj. 外,the outer layers of the skin,3
outfit,/ˈaʊtfɪt/,n. 全套服装,She was wearing an expensive new outfit.,3
outing,/ˈaʊtɪŋ/,n. 郊游,a family outing,4
outlet,/ˈaʊtlet/,n. 出路,The business has 34 retail outlets in this state alone.,4
outline,/ˈaʊtlaɪn/,n. 大纲,"outline of something, This is a brief outline of the events.",3
outlook,/ˈaʊtlʊk/,n. 前景,Travel broadens your outlook.,4
